Brownstone JAZZ,Jazz & Blues,Lower East Side,"734 Flatbush AveBrooklyn, NY 11226",NY,2
Depot 52,Music Venues,South Village,Unknown,NY,2
Niche 312,Dance Clubs,Forest Hills,"56-15 Northern BlvdWoodside, NY 11377",NY,3
Drunk Shakespeare,Performing Arts,Midwood,"168 Borinquen PlBrooklyn, NY 11211",NY,2
Cave Restaurant,Lounges,"Gowanus, Park Slope","189 West 10th StNew York, NY 10014",NY,2
Jazz at Lincoln Center - The Appel Room,Music Venues,"Prospect Lefferts Gardens, Flatbush","2271 Adam Clayton Powell BlvdNew York, NY 10030",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Long Island City,"338 E 92nd StNew York, NY 10128",NY,2
Lounge 247,Lounges,Woodside,"605 2nd AveNew York, NY 10016",NY,2
Artifakt Bar & Lounge,Lounges,Williamsburg - South Side,"2828 W 28th StNew York, NY 11224",NY,2
Sorry Not Sorry,Lounges,West Village,"107 Macon StBrooklyn, NY 11216",NY,4
Empire Lounge,Lounges,,"7 52nd StBrooklyn, NY 11232",NY,2
The Armory,Cocktail Bars,Harlem,"312 E9th StNew York, NY 10003",NY,2
Flatbush Zombie House,Tiki Bars,"Yorkville, Upper East Side","777 8th AveNew York, NY 10036",NY,2
Penthouse 808 Asian Bistro & Lounge,Lounges,"Murray Hill, Kips Bay, Midtown East","2320 McDonald AveBrooklyn, NY 11223",NY,2
La Boom,Dance Clubs,Coney Island,"33 W 60th StNew York, NY 10023",NY,2
Black Flamingo,Cocktail Bars,Bedford Stuyvesant,125 St Anns Ave,NY,2
Due West,Cocktail Bars,East Village,589 Ft Washington Ave,NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,"Theater District, Midtown West, Hell's Kitchen",348 Franklin Ave,NY,3
Shrine,Bars,Gravesend,"22 Battery Pl, Fl 2 Pier A",NY,2
Drunken Munkey NYC,Indian,"Hell's Kitchen, Midtown West",579 Meeker Ave,NY,2
ER Bar And Lounge,Cocktail Bars,Sunnyside,161 Lafayette St,NY,2
Brown’s Lounge,Lounges,Mott Haven,157-26 Northern Blvd,NY,2
Brownstone JAZZ,Jazz & Blues,Washington Heights,112 Dyckman St,NY,2
Depot 52,Music Venues,Clinton Hill,171 Avenue C,NY,3
